Date,DXY,SP500,OIL,INTEREST_RATE,CPI
2015-10-11,94.80999755859375,2014.8900146484375,49.630001068115234,0.12,237.733
2015-10-12,94.83999633789062,2017.4599609375,47.099998474121094,0.12,237.733
2015-10-13,94.76000213623047,2003.68994140625,46.65999984741211,0.12,237.733
2015-10-14,93.93000030517578,1994.239990234375,46.63999938964844,0.12,237.733
2015-10-15,94.37000274658203,2023.8599853515625,46.380001068115234,0.12,237.733
2015-10-16,94.54000091552734,2033.1099853515625,47.2599983215332,0.12,237.733
2015-10-17,94.54000091552734,2033.1099853515625,47.2599983215332,0.12,237.733
2015-10-18,94.54000091552734,2033.1099853515625,47.2599983215332,0.12,237.733
2015-10-19,94.95999908447266,2033.6600341796875,45.88999938964844,0.12,237.733
2015-10-20,94.8499984741211,2030.77001953125,45.54999923706055,0.12,237.733
2015-10-21,95.05000305175781,2018.93994140625,45.20000076293945,0.12,237.733
2015-10-22,96.33999633789062,2052.510009765625,45.380001068115234,0.12,237.733
2015-10-23,97.06999969482422,2075.14990234375,44.599998474121094,0.12,237.733
2015-10-24,97.06999969482422,2075.14990234375,44.599998474121094,0.12,237.733
2015-10-25,97.06999969482422,2075.14990234375,44.599998474121094,0.12,237.733
2015-10-26,96.86000061035156,2071.179931640625,43.97999954223633,0.12,237.733
2015-10-27,96.91000366210938,2065.889892578125,43.20000076293945,0.12,237.733
2015-10-28,97.77999877929688,2090.35009765625,45.939998626708984,0.12,237.733
2015-10-29,97.27999877929688,2089.409912109375,46.060001373291016,0.12,237.733
2015-10-30,96.94999694824219,2079.360107421875,46.59000015258789,0.12,237.733
2015-10-31,96.94999694824219,2079.360107421875,46.59000015258789,0.12,237.733
2015-11-01,96.94999694824219,2079.360107421875,46.59000015258789,0.12,238.017
2015-11-02,96.93000030517578,2104.050048828125,46.13999938964844,0.12,238.017
2015-11-03,97.16000366210938,2109.7900390625,47.900001525878906,0.12,238.017
2015-11-04,97.94999694824219,2102.31005859375,46.31999969482422,0.12,238.017
2015-11-05,97.94000244140625,2099.929931640625,45.20000076293945,0.12,238.017
2015-11-06,99.16000366210938,2099.199951171875,44.290000915527344,0.12,238.017
2015-11-07,99.16000366210938,2099.199951171875,44.290000915527344,0.12,238.017
2015-11-08,99.16000366210938,2099.199951171875,44.290000915527344,0.12,238.017
2015-11-09,98.9800033569336,2078.580078125,43.869998931884766,0.12,238.017
2015-11-10,99.29000091552734,2081.719970703125,44.209999084472656,0.12,238.017
2015-11-11,99.01000213623047,2075.0,42.93000030517578,0.12,238.017
2015-11-12,98.6500015258789,2045.969970703125,41.75,0.12,238.017
2015-11-13,98.98999786376953,2023.0400390625,40.7400016784668,0.12,238.017
2015-11-14,98.98999786376953,2023.0400390625,40.7400016784668,0.12,238.017
2015-11-15,98.98999786376953,2023.0400390625,40.7400016784668,0.12,238.017
2015-11-16,99.44000244140625,2053.18994140625,41.7400016784668,0.12,238.017
2015-11-17,99.62999725341797,2050.43994140625,40.66999816894531,0.12,238.017
